Tempo: 00:00:09 | Produz primeiros carros
                | Carro entrou na pista L1Leste
Tempo: 00:00:11 | Produz primeiros carros
                | Carro entrou na pista O1Leste
Tempo: 00:00:20 | Produz primeiros carros
                | Carro entrou na pista N2sul
Tempo: 00:00:20 | Produz novo carro
                | Carro entrou na pista L1Leste
Tempo: 00:00:22 | Produz novo carro
                | Carro entrou na pista O1Leste
Tempo: 00:00:25 | Produz primeiros carros
                | Carro entrou na pista N1Sul
Tempo: 00:00:30 | Produz primeiros carros
                | Carro entrou na pista S1Norte
Tempo: 00:00:30 | Produz novo carro
                | Carro entrou na pista L1Leste
Tempo: 00:00:32 | Produz novo carro
                | Carro entrou na pista O1Leste
Tempo: 00:00:39 | Produz novo carro
                | Carro entrou na pista N2sul
Tempo: 00:00:40 | Produz novo carro
                | Carro entrou na pista L1Leste
Tempo: 00:00:43 | Produz novo carro
                | Carro entrou na pista O1Leste
Tempo: 00:00:48 | Produz novo carro
                | Carro entrou na pista N1Sul
Tempo: 00:00:51 | Produz novo carro
                | Carro entrou na pista L1Leste
Tempo: 00:00:51 | Produz novo carro
                | Carro entrou na pista O1Leste
Tempo: 00:00:55 | Carro chegou no final da pista
Tempo: 00:00:57 | Carro chegou no final da pista
Tempo: 00:00:57 | Produz novo carro
                | Carro entrou na pista S1Norte
Tempo: 00:00:59 | Produz novo carro
                | Carro entrou na pista O1Leste
Tempo: 00:01:00 | Primeira troca de sinal
Tempo: 00:01:00 | Primeira troca de sinal
Tempo: 00:01:00 | Carro chegou no final da pista
Tempo: 00:01:01 | Produz primeiros carros
                | Carro entrou na pista S2Norte
Tempo: 00:01:01 | Produz novo carro
                | Carro entrou na pista L1Leste
Tempo: 00:01:01 | Tentando mover carro novamente
Tempo: 00:01:01 | Tentando mover carro novamente
Tempo: 00:01:02 | Produz novo carro
                | Carro entrou na pista N2sul
Tempo: 00:01:03 | Produz novo carro
                | Carro entrou na pista N1Sul
Tempo: 00:01:05 | Carro chegou no final da pista
Tempo: 00:01:08 | Carro chegou no final da pista
Tempo: 00:01:08 | Produz novo carro
                | Carro entrou na pista O1Leste
Tempo: 00:01:12 | Produz novo carro
                | Carro entrou na pista L1Leste
Tempo: 00:01:16 | Produz novo carro
                | Carro entrou na pista O1Leste
Tempo: 00:01:18 | Carro chegou no final da pista
Tempo: 00:01:18 | Carro chegou no final da pista
Tempo: 00:01:19 | Carro chegou no final da pista
Tempo: 00:01:20 | Produz novo carro
                | Carro entrou na pista L1Leste
Tempo: 00:01:24 | Carro chegou no final da pista
Tempo: 00:01:24 | Produz novo carro
                | Carro entrou na pista N2sul
Tempo: 00:01:24 | Produz novo carro
                | Carro entrou na pista O1Leste
Tempo: 00:01:25 | Produz novo carro
                | Carro entrou na pista N1Sul
Tempo: 00:01:27 | Carro chegou no final da pista
Tempo: 00:01:28 | Carro chegou no final da pista
Tempo: 00:01:29 | Produz novo carro
                | Carro entrou na pista L1Leste
Tempo: 00:01:33 | Produz novo carro
                | Carro entrou na pista S1Norte
Tempo: 00:01:33 | Carro chegou no final da pista
Tempo: 00:01:35 | Produz novo carro
                | Carro entrou na pista O1Leste
Tempo: 00:01:36 | Carro chegou no final da pista
Tempo: 00:01:39 | Carro chegou no final da pista
Tempo: 00:01:39 | Produz novo carro
                | Carro entrou na pista L1Leste
Tempo: 00:01:41 | Carro chegou no final da pista
Tempo: 00:01:45 | Produz novo carro
                | Carro entrou na pista N2sul
Tempo: 00:01:45 | Produz novo carro
                | Carro entrou na pista N1Sul
Tempo: 00:01:45 | Produz novo carro
                | Carro entrou na pista O1Leste
Tempo: 00:01:46 | Carro chegou no final da pista
Tempo: 00:01:47 | Carro chegou no final da pista
Tempo: 00:01:47 | Produz novo carro
                | Carro entrou na pista L1Leste
Tempo: 00:01:49 | Carro chegou no final da pista
Tempo: 00:01:51 | Carro chegou no final da pista
Tempo: 00:01:52 | Carro chegou no final da pista
Tempo: 00:01:53 | Carro chegou no final da pista
                | Carro saiu da pista L1Leste
Tempo: 00:01:55 | Carro chegou no final da pista
Tempo: 00:01:55 | Produz novo carro
                | Carro entrou na pista O1Leste
Tempo: 00:01:55 | Produz novo carro
                | Carro entrou na pista L1Leste
Tempo: 00:02:00 | Troca de sinal
Tempo: 00:02:00 | Troca de sinal
Tempo: 00:02:00 | Carro chegou no final da pista
Tempo: 00:02:00 | Produz novo carro
                | Carro entrou na pista S1Norte
Tempo: 00:02:00 | Produz novo carro
                | Carro entrou na pista N1Sul
Tempo: 00:02:01 | Tentando mover carro novamente
Tempo: 00:02:01 | Tentando mover carro novamente
Tempo: 00:02:01 | Tentando mover carro novamente
Tempo: 00:02:01 | Tentando mover carro novamente
Tempo: 00:02:01 | Tentando mover carro novamente
Tempo: 00:02:01 | Tentando mover carro novamente
Tempo: 00:02:01 | Tentando mover carro novamente
Tempo: 00:02:01 | Tentando mover carro novamente
Tempo: 00:02:01 | Tentando mover carro novamente
Tempo: 00:02:01 | Tentando mover carro novamente
Tempo: 00:02:01 | Produz novo carro
                | Carro entrou na pista N2sul
Tempo: 00:02:01 | Tentando mover carro novamente
